key_with_zip,key_no_zip,address,city,zip,licensee,lat,lng
"1009 E 10th St, Alamogordo 88310.0","1009 E 10th St, Alamogordo",1009 E 10th St,Alamogordo,88310.0,1912 CANNABIS COMPANY LLC - 10TH ST RETAIL,,
"101 N White Sands Blvd, Alamogordo 88310.0","101 N White Sands Blvd, Alamogordo",101 N White Sands Blvd,Alamogordo,88310.0,R. GREENLEAF ORGANICS INC - WHITE SANDS BLVD RETAIL,,
"1022 N White Sands Blvd, Alamogordo 88310.0","1022 N White Sands Blvd, Alamogordo",1022 N White Sands Blvd,Alamogordo,88310.0,MUNCHIEZ CANNABIS LLC - WHITE SANDS BLVD RETAIL,,
"123 N. White Sands Blvd, Alamogordo 88310.0","123 N. White Sands Blvd, Alamogordo",123 N. White Sands Blvd,Alamogordo,88310.0,PURLIFE DISPENSARY - Alamogordo,,
"1300 White Sands Blvd, Alamogordo 88310.0","1300 White Sands Blvd, Alamogordo",1300 White Sands Blvd,Alamogordo,88310.0,"RMC NM, INC - CLOVIS RETAIL",,
"1610 Indian Wells Rd, Alamogordo 88310.0","1610 Indian Wells Rd, Alamogordo",1610 Indian Wells Rd,Alamogordo,88310.0,HIGHER GRADE FARMS LLC - INDIAN WELLS RETAIL,,
"2010 Pecan Dr, Alamogordo 88310.0","2010 Pecan Dr, Alamogordo",2010 Pecan Dr,Alamogordo,88310.0,S  H GREEN LIFE - PECAN DR RETAIL,,
"215 Highway 82, Alamogordo 88310.0","215 Highway 82, Alamogordo",215 Highway 82,Alamogordo,88310.0,"EL LUMBRE FARMS, LLC - HWY 82 RETAIL",,
"218 WhiteSands, Alamogordo 88310.0","218 WhiteSands, Alamogordo",218 WhiteSands,Alamogordo,88310.0,ROADRUNNER CANNABIS CO LLC,,
"2419 North White Sands Blvd Suite C, Alamogordo 88310.0","2419 North White Sands Blvd Suite C, Alamogordo",2419 North White Sands Blvd Suite C,Alamogordo,88310.0,"GRANDPAS HOME GROWN HERBS, LLC - VILLA CHRISTINA RETAIL",,
"2617 N. White Sands Blvd. Ste. D, Alamogordo 88310.0","2617 N. White Sands Blvd. Ste. D, Alamogordo",2617 N. White Sands Blvd. Ste. D,Alamogordo,88310.0,COMPASSIONATE DISTRIBUTORS INC - WHITE SANDS RETAIL,,
"300 N White Sands Blvd., Alamogordo 88310.0","300 N White Sands Blvd., Alamogordo",300 N White Sands Blvd.,Alamogordo,88310.0,PECOS VALLEY PRODUCTION INC - WHITE SANDS RETAIL,,
"601 N White Sands Blvd, Alamogordo 88310.0","601 N White Sands Blvd, Alamogordo",601 N White Sands Blvd,Alamogordo,88310.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  ALAMOGORDO RETAIL,,
"604 Tenth St, Alamogordo 88310.0","604 Tenth St, Alamogordo",604 Tenth St,Alamogordo,88310.0,LAVISH LEAF LLC- 10TH STREET RETAIL,,
"707 A N Whitesands Blvd, Alamogordo 88310.0","707 A N Whitesands Blvd, Alamogordo",707 A N Whitesands Blvd,Alamogordo,88310.0,SPIDER LLC-WHITESANDS BLVD RETAILER,,
"7246 Hwy 54 70, Alamogordo 88310.0","7246 Hwy 54 70, Alamogordo",7246 Hwy 54 70,Alamogordo,88310.0,4A FARM LLC DBA STOGIES - HWY 54 70 RETAIL/CONSUMPTION,,
"805 N White Sands Blvd Ste D, Alamogordo 88310.0","805 N White Sands Blvd Ste D, Alamogordo",805 N White Sands Blvd Ste D,Alamogordo,88310.0,SCORE 420 - WHITE SANDS BLVD RETAIL,,
"900 Adams, Alamogordo 88310.0","900 Adams, Alamogordo",900 Adams,Alamogordo,88310.0,LYONS PRIDE DISPENSARY LLC/ RETAIL ADAMS,,
"918 N White Sands Blvd, Alamogordo 88310.0","918 N White Sands Blvd, Alamogordo",918 N White Sands Blvd,Alamogordo,88310.0,RIDANKULOUS CO/ RETAIL N WHITE SANDS BLVD,,
"637 Broadway Blvd SE Suite A, Albquerque 87102.0","637 Broadway Blvd SE Suite A, Albquerque",637 Broadway Blvd SE Suite A,Albquerque,87102.0,HIGH LOADED FARMS LLC - BROADWAY BLVD RETAILER,,
"100 Coors Blvd., NW, Albuquerque 87120.0","100 Coors Blvd., NW, Albuquerque","100 Coors Blvd., NW",Albuquerque,87120.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  COORS BLVD RETAIL - Albuquerque,,
"10032 Coors Blvd NW, Albuquerque 87114.0","10032 Coors Blvd NW, Albuquerque",10032 Coors Blvd NW,Albuquerque,87114.0,THE VERDES FOUNDATION/ RETAIL COORS BLVD NW,,
"101 98th St SW, Albuquerque 87121.0","101 98th St SW, Albuquerque",101 98th St SW,Albuquerque,87121.0,ELKHORN RETAIL LLC/ RETAIL 98TH ST SW,,
"1011 4th St. NW, Albuquerque 87102.0","1011 4th St. NW, Albuquerque",1011 4th St. NW,Albuquerque,87102.0,WATTS INDUSTRIES LLC - 4TH ST RETAIL,,
"1015 4th Street SW, Albuquerque 87102.0","1015 4th Street SW, Albuquerque",1015 4th Street SW,Albuquerque,87102.0,PAR 4 LLC/ RETAIL 4TH STREET SW,,
"1016 Juan Tabo Blvd. NE Ste. J, Albuquerque 87112.0","1016 Juan Tabo Blvd. NE Ste. J, Albuquerque",1016 Juan Tabo Blvd. NE Ste. J,Albuquerque,87112.0,SEVEN CLOVER ALBUQUERQUE DISPENSARY,,
"1017 San Mateo SE, Albuquerque 87108.0","1017 San Mateo SE, Albuquerque",1017 San Mateo SE,Albuquerque,87108.0,WEED AND READ LTD LLC,,
"10200 Corrales Rd NW Ste E-2, Albuquerque 87114.0","10200 Corrales Rd NW Ste E-2, Albuquerque",10200 Corrales Rd NW Ste E-2,Albuquerque,87114.0,GOT GREENS LLC - CORRALES RD RETAIL,,
"10250 Cottonwood Park NW, Albuquerque 87114.0","10250 Cottonwood Park NW, Albuquerque",10250 Cottonwood Park NW,Albuquerque,87114.0,R. GREENLEAF ORGANICS DISPENSARY - Albuquerque,,
"1027 San Mateo Blvd SE, Albuquerque 87108.0","1027 San Mateo Blvd SE, Albuquerque",1027 San Mateo Blvd SE,Albuquerque,87108.0,"STONED DESERT, LLC - SAN MATEO BLVD RETAIL/CONS",,
"10660 Unser Blvd., NW, Albuquerque 87114.0","10660 Unser Blvd., NW, Albuquerque","10660 Unser Blvd., NW",Albuquerque,87114.0,EVEREST APOTHECARY - ALBUQUERQUE DISPENSARY,,
"11 Haines Ave NW, Albuquerque 87102.0","11 Haines Ave NW, Albuquerque",11 Haines Ave NW,Albuquerque,87102.0,AFICIONADO CANNABIS INC - HAINES RETAIL,,
