Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
1912 CANNABIS COMPANY LLC - 10TH ST RETAIL,1009 E 10th St,Alamogordo,NM,88310,"$44,424.26","$46,106.07","$90,530.33"
285 SOUTH DISPENSARY LLC - MAIN ST. RETAIL,1725 SE Main St. Suite B,Roswell,NM,88203,"$18,915.11","$42,504.15","$61,419.26"
"420 DISPENSARY, LLC - W COAL RETAIL",106 W Coal Ave,Gallup,NM,87301,"$1,791.53","$10,637.24","$12,428.77"
420 TEA TIME LLC/ RETAIL- ROVER BLVD,35 Rover Blvd,White Rock,NM,87544,"$7,226.03","$19,128.89","$26,354.92"
BLUE WHALE ENTERPRISES INC - BROADWAY RETAIL,1340 Broadway Blvd NE Ste A,Albuquerque,NM,87102,"$309,082.74","$622,681.56","$931,764.30"
575 CANNABIS LLC- RETAIL 305 S COUNTY LINE,305 S County Line Dr,Chaparral,NM,88081,"$1,264.14","$8,211.43","$9,475.57"
911 KRONIC,911 W Apache St,Farmington,NM,87401,$60,,$60
911 KRONIC/ RETAIL W APACHE ST,911 W Apache St,Farmington,NM,87401,"$15,605.53","$89,421.50","$105,027.03"
OCC ABQ LLC - COORS BLVD RETAIL,3730 Coors Blvd NW Ste B,Albuquerque,NM,87120,"$236,143.31","$366,466.74","$602,610.05"
OCC ABQ LLC,2925 Juan Tabo Blvd NE,Albuquerque,NM,87112,"$174,755.41","$287,314.33","$462,069.74"
THE VERDES FOUNDATION  SAN ANTONIO DRIVE RETAIL,7301 San Antonio Drive NE,Albuquerque,NM,87109,"$171,043.27","$239,710.56","$410,753.83"
AGRICANNA LLC - E PINE RETAIL,1802 E Pine St.,Deming,NM,88030,"$22,682","$75,013.73","$97,695.73"
AIM HIGH ENTERPRISES LLC- BATAAN MEMORIAL WEST RETAIL,9575 Bataan Memorial West,Las Cruces,NM,88012,"$4,690.36","$18,103.05","$22,793.41"
AKESO BOTANICALS LLC,200 Conway,Las Cruces,NM,88005,"$3,771.73","$3,816.36","$7,588.09"
ALL AMERICAN BUD COMPANY -RETAIL,403 W. Main St,Farmington,NM,87401,,"$19,439.20","$19,439.20"
AMIGOS CANNABIS - PASEO DE PERALTA MANUFACTURER,839 Paseo De Peralta,Santa Fe,NM,87501,"$4,242.02","$12,721.05","$16,963.07"
AMIGOS LAS CRUCES LLC- RINCONADA BLVD RETAIL,3330 Rinconada Blvd,Las Cruces,NM,88011,"$23,570.75","$72,521.01","$96,091.76"
CHADCOR HOLDINGS NM- RETAIL,1713 Juan Tabo Blvd NE,Albuquerque,NM,87112,"$121,131.46","$235,258.75","$356,390.21"
GRANDE CULTIVATION COLLECTIVE LLC- CARLISLE RETAIL,2828 Carlisle NE,Albuquerque,NM,87110,"$64,820.28","$274,602.20","$339,422.48"
OCC ABQ LLC - MENAUL BLVD RETAIL,3500 Menaul Blvd NE Ste 6,Albuquerque,NM,87107,"$108,947.98","$194,930.62","$303,878.60"
OCC ABQ LLC,6311 Lomas Blvd NE,Albuquerque,NM,87111,"$111,415.93","$170,893.43","$282,309.36"
THE VERDES FOUNDATION/ RETAIL COORS BLVD NW,10032 Coors Blvd NW,Albuquerque,NM,87114,"$116,883.25","$160,033.50","$276,916.75"
ANIMACANN INC - 20TH ST RETAIL,1901 E 20th St,Farmington,NM,87401,"$13,230.93","$83,445.79","$96,676.72"
ANIMACANN INC - GRIMES ST RETAIL,701 N Grimes St,Hobbs,NM,88240,"$4,668.48","$107,143.07","$111,811.55"
OCC ABQ LLC,2720 Central Ave Southeast F,Albuquerque,NM,87106,"$99,922.44","$165,735.42","$265,657.86"
THE VERDES FOUNDATION/ RETAIL MONTE VISTA BLVD NE,3636 Monte Vista Blvd NE,Albuquerque,NM,87106,"$91,315.77","$172,846.71","$264,162.48"
OCC ABQ LLC- OSUNA RD RETAIL,141 Osuna Rd NE,Albuquerque,NM,87107,"$104,500.19","$149,344.67","$253,844.86"
APOGEE THERAPEUTICS LLC - RETAIL/CONSUMPTION,1769 Victory Ln,Sunland Park,NM,88063,"$2,855.05","$42,688.29","$45,543.34"
AREA 54 DISPENSARY LLC- ANGELINA BLVD RETAIL,764 Angelina blvd,Chaparral,NM,88081,"$2,682.62","$20,939.15","$23,621.77"
ARRIVE,248 DP Road,Los Alamos,NM,87544,"$7,189.44","$22,093.45","$29,282.89"
ASTRO BUDS LLC - MCCOMBS RD RETAIL,308 McCombs Rd Spc 2,Chaparral,NM,88081,"$10,785.48","$177,562.82","$188,348.30"
CHADCOR HOLDINGS NM- RETAIL,7001 Menaul Blvd NE,Albuquerque,NM,87110,"$75,287.25","$143,413.45","$218,700.70"
URBAN WELLNESS - PARADISE DISPENSARY,4601 Paradise Blvd. Suite H,Albuquerque,NM,87114,"$68,693.90","$148,815.24","$217,509.14"
BERNA-LENO INC - DEL PUEBLO RETAIL,1042 Camino Del Pueblo,Bernalillo,NM,87004,"$3,734.18","$6,621.11","$10,355.29"
BESOS LLC/ RETAIL FUTURITY DR,1805 Futurity Dr,Sunland Park,NM,88603,"$1,437.57","$39,896.49","$41,334.06"
BEST BUDS - 1ST RETAIL,721 E 1st,Clovis,NM,88101,"$2,029.10","$14,684.15","$16,713.25"
BEST DAZE INC,800 Mills Ave,Las Vegas,NM,87701,"$9,720.10","$31,660.79","$41,380.89"
BEST DAZE INC,128 W Palace Ave,Santa Fe,NM,87501,"$2,257.13","$19,037.27","$21,294.40"
